Message,LOG-RETRIEVEPOS,,,,,
Description,Position fix log entry,,,,,
Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
Type,Output,,,,,
Comment,This message is used to report a position fix log entry,,,,,
Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",0xB5 0x62,0x21,0x0b,40,see below,CK_A CK_B
Payload Contents:,,,,,,
Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
0,U4,-,entryIndex,-,The index of this log entry,
4,I4,1e-7,lon,deg,Longitude,
8,I4,1e-7,lat,deg,Latitude,
12,I4,-,hMSL,mm,Height above mean sea level,
16,U4,-,hAcc,mm,Horizontal accuracy estimate,
20,U4,-,gSpeed,mm/s,Ground speed (2-D),
24,U4,1e-5,heading,deg,Heading,
28,U1,-,version,-,The version of this message. Set to 0,
29,U1,-,fixType,-,"Fix type:0x01: Dead Reckoning only0x02: 2D-Fix0x03: 3D-Fix0x04: GNSS + Dead Reckoning combined",
30,U2,-,year,-,Year (1-65635) of UTC time,
32,U1,-,month,-,Month (1-12) of UTC time,
33,U1,-,day,-,Day (1-31) of UTC time,
34,U1,-,hour,-,Hour (0-23) of UTC time,
35,U1,-,minute,-,Minute (0-59) of UTC time,
36,U1,-,second,-,Second (0-60) of UTC time,
37,U1,-,reserved1,-,Reserved,
38,U1,-,numSV,-,Number of satellites used in the position fix,
39,U1,-,reserved2,-,Reserved,
