"",Message,NAV-PVT,,,,,
"",Description,Navigation Position Velocity Time Solution,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 from protocol version 15 up to version 23.01",,,,,
"",Type,Periodic/Polled,,,,,
"",Comment,"Note that during a leap second there may be more (or less) than 60 seconds in aminute; see the description of leap seconds for details.This message combines position, velocity and time solution, including accuracy figures",,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x01,0x07,92,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U4,-,iTOW,ms,"GPS time of week of the navigation epoch.See the description of iTOW for details.",
"",4,U2,-,year,y,Year (UTC),
"",6,U1,-,month,month,"Month, range 1..12 (UTC)",
"",7,U1,-,day,d,"Day of month, range 1..31 (UTC)",
"",8,U1,-,hour,h,"Hour of day, range 0..23 (UTC)",
"",9,U1,-,min,min,"Minute of hour, range 0..59 (UTC)",
"",10,U1,-,sec,s,"Seconds of minute, range 0..60 (UTC)",
"",11,X1,-,valid,-,Validity flags (see graphic below),
"",12,U4,-,tAcc,ns,Time accuracy estimate (UTC),
"",16,I4,-,nano,ns,"Fraction of second, range -1e9 .. 1e9 (UTC)",
"",20,U1,-,fixType,-,"GNSSfix Type:0: no fix1: dead reckoning only2: 2D-fix3: 3D-fix4: GNSS + dead reckoning combined5: time only fix",
"",21,X1,-,flags,-,Fix status flags (see graphic below),
"",22,X1,-,flags2,-,Additional flags (see graphic below),
"",23,U1,-,numSV,-,Number of satellites used in Nav Solution,
"",24,I4,1e-7,lon,deg,Longitude,
"",28,I4,1e-7,lat,deg,Latitude,
"",32,I4,-,height,mm,Height above ellipsoid,
"",36,I4,-,hMSL,mm,Height above mean sea level,
"",40,U4,-,hAcc,mm,Horizontal accuracy estimate,
