"",Message,CFG-NAVX5,,,,,
"",Description,Navigation Engine Expert Settings,,,,,
"",Firmware,"Supported on:•u-blox 8 / u-blox M8 with protocol version 19.1",,,,,
"",Type,Get/Set,,,,,
"",Comment,-,,,,,
"",Message Structure,Header,Class,ID,Length (Bytes),Payload,Checksum
"",,0xB5 0x62,0x06,0x23,44,see below,CK_A CK_B
"",Payload Contents:,,,,,,
"",Byte Offset,"NumberFormat",Scaling,Name,Unit,Description,
"",0,U2,-,version,-,Message version (3 for this version),
"",2,X2,-,mask1,-,"First parameters bitmask. Only the flaggedparameters will be applied, unused bits must beset to 0. (see graphic below)",
"",4,X4,-,mask2,-,"Second parameters bitmask. Only the flaggedparameters will be applied, unused bits must beset to 0. (see graphic below)",
"",8,U1[2],-,reserved1,-,Reserved,
"",10,U1,-,minSVs,"#SVs",Minimum number of satellites for navigation,
"",11,U1,-,maxSVs,"#SVs",Maximum number of satellites for navigation,
"",12,U1,-,minCNO,dBHz,Minimum satellite signal level for navigation,
"",13,U1,-,reserved2,-,Reserved,
"",14,U1,-,iniFix3D,-,1 = initial fix must be 3D,
"",15,U1[2],-,reserved3,-,Reserved,
"",17,U1,-,ackAiding,-,"1 = issue acknowledgements for assistancemessage input",
"",18,U2,-,wknRollover,-,"GPS week rollover number; GPS week numberswill be set correctly from this week up to 1024weeks after this week. Setting this to 0 revertsto firmware default.",
"",20,U1,-,"sigAttenCompMode",dBHz,"Only supported on certain productsPermanently attenuated signal compensation (0= disabled, 255 = automatic, 1..63 = maximumexpected C/N0 value)",
"",21,U1,-,reserved4,-,Reserved,
"",22,U1[2],-,reserved5,-,Reserved,
"",24,U1[2],-,reserved6,-,Reserved,
"",26,U1,-,usePPP,-,"1 = use Precise Point Positioning (only availablewith the PPP product variant)",
"",27,U1,-,aopCfg,-,"AssistNow Autonomous configuration (seegraphic below)",
